id,book_id,member_id,copy_code,loan_date,date_returned,status
,3023,46,M16.735,2/14/2019,2/28/2019,1
,3023,46,M16.735,3/13/2019,3/20/2019,1
,3690,46,OKT001359,4/25/2019,5/2/2019,1
,4540,46,A16.651,3/6/2019,3/20/2019,1
,5197,46,131JAN17AM,10/13/2017,10/20/2017,1
,6292,46,J16.591,10/13/2017,10/20/2017,1
,6708,46,N15.126,2/11/2019,2/18/2019,1
,6869,46,D15.762,7/27/2019,8/5/2019,1
,6965,46,OKT002344,3/20/2019,3/27/2019,1
,9097,46,131FEB17AH,2/14/2019,2/21/2019,1
,9100,46,37HDM19,8/22/2019,9/5/2019,1
,9100,46,37HDM19,9/11/2019,9/25/2019,1
,9100,46,083MEI17AH,10/8/2019,10/15/2019,1
,9972,46,OKT003212,8/2/2019,8/9/2019,1
,10453,46,10102,4/10/2019,4/18/2019,1
,12130,46,MEI3651,7/27/2019,8/5/2019,1
,12365,46,NO16987,9/2/2019,9/9/2019,1
,12932,46,B020123,4/25/2019,5/2/2019,1
,14220,46,J16.879,8/9/2019,8/16/2019,1
,14221,46,071FEB17AH,9/11/2019,9/25/2019,1
,15115,46,176JUL17AH,9/11/2019,9/25/2019,1
,15309,46,NO16902,2/11/2019,2/18/2019,1
,17608,46,CBA6153,2/21/2019,2/28/2019,1
,17640,46,A16.028,8/9/2019,8/16/2019,1
,17902,46,383HDM19,7/27/2019,8/5/2019,1
,19407,46,1AB0229,4/25/2019,5/2/2019,1
,19837,46,MRT0317,2/21/2019,2/28/2019,1
,21087,46,J16.611,3/27/2019,4/4/2019,1
,24825,46,JU.227,3/20/2019,3/27/2019,1
,25276,46,A0614,8/22/2019,9/5/2019,1
,29626,46,11078,4/10/2019,4/18/2019,1
,2732,47,F16.996,10/10/2017,10/25/2017,1
,2732,47,Z001117,10/10/2017,10/25/2017,1
,2565,48,039JUL17SL,11/5/2019,11/7/2019,1
,3405,48,231jan17as,9/25/2019,10/2/2019,1
,4279,48,A16.453,12/11/2018,12/18/2018,1
,4554,48,A16.297,11/8/2018,11/15/2018,1
,4554,48,248APR17AH,11/15/2018,11/29/2018,1
,4554,48,OKT001177,12/8/2018,12/17/2018,1
,4554,48,A16.297,12/8/2018,12/17/2018,1
,6237,48,03HD19M,9/25/2019,10/2/2019,1
,7442,48,OKT001364,11/8/2018,11/15/2018,1
,8614,48,MEI3023,11/8/2018,11/15/2018,1
,10244,48,477NOVAH,3/28/2019,4/4/2019,1
,10506,48,mrt0707,11/5/2019,11/7/2019,1
,11450,48,F16.617,9/25/2019,10/2/2019,1
,12840,48,OKT003073,3/28/2019,4/4/2019,1
,13455,48,OKT000968,12/8/2018,12/17/2018,1
,14893,48,A16.235,3/28/2019,4/4/2019,1
,15421,48,A4450,5/6/2019,5/22/2019,1
,16561,48,no16486,11/5/2019,11/7/2019,1
,17073,48,cba5541,9/18/2019,9/25/2019,1
,17161,48,1ab1791,9/18/2019,9/25/2019,1
,17840,48,A4506,5/6/2019,5/22/2019,1
,28698,48,cba5491,9/18/2019,9/25/2019,1
,3608,49,J16.145,10/30/2017,11/13/2017,1
,4344,49,mei.405,5/8/2017,5/15/2017,1
,4711,49,J16.261,10/30/2017,11/13/2017,1
,11685,49,JU.602,4/3/2017,4/17/2017,1
,12837,49,OKT001513,4/3/2017,4/10/2017,1
,12872,49,S021731  ,4/17/2017,4/25/2017,1
,12926,49,F16.276,4/17/2017,5/3/2017,1
,13544,49,m16.671,5/8/2017,5/15/2017,1
,25268,49,okt003821,5/8/2017,5/15/2017,1
,25308,49,A1268,4/17/2017,5/3/2017,1
,5111,50,135JAN17AH,10/24/2019,10/31/2019,1
,15462,50,MEI.519,10/24/2019,10/31/2019,1
,6301,51,N15.965,3/12/2019,3/19/2019,1
,12530,51,140hda19h,9/2/2019,9/9/2019,1
,17729,51,d15.760,9/2/2019,9/9/2019,1
,56,52,OKT000150,3/8/2019,3/15/2019,1
,3667,52,090apr17as,2/19/2019,2/26/2019,1
,4091,52,500MAR17AM,9/26/2018,10/3/2018,1
,4091,52,185PEB17AM,8/27/2018,9/10/2018,1
,5788,52,Z001909,3/21/2019,3/28/2019,1
,9254,52,404MAR17AM,10/8/2018,10/15/2018,1
,12325,52,153jUL17SL,8/27/2018,9/10/2018,1
,13796,52,OKT000918,8/27/2018,9/10/2018,1
,14011,52,109JUL17AH,2/19/2019,2/26/2019,1
,14079,52,074MAR17AS,10/8/2018,10/18/2018,1
,14079,52,074mar17as,10/31/2018,11/7/2018,1
,14763,52,Z001038,3/21/2019,3/28/2019,1
,15461,52,okt003138,2/19/2019,2/26/2019,1
,18236,52,1AB0981,2/6/2019,2/13/2019,1
,19080,52,MEI2929,11/8/2018,11/15/2018,1
,25476,52,1AB1017,2/6/2019,2/13/2019,1
,25916,52,OKT001263,3/8/2019,3/15/2019,1
,2036,53,OKT004355,3/20/2017,4/5/2017,1
,3667,53,OKT000174,3/20/2017,4/5/2017,1
,4181,53,Z001498,3/20/2017,4/5/2017,1
,7025,53,OKT001368,10/30/2017,11/6/2017,1
,7283,53,J16.153,10/30/2017,11/6/2017,1
,19911,53,N15.325,10/30/2017,11/6/2017,1
,12893,54,f16.454,9/22/2017,9/29/2017,1
,27025,54,okt004626,9/22/2017,9/29/2017,1
